element,ion,wavelength_nm,strength_percentile
As,1,200.3340,80
Fe,3,200.3503,86
Re,1,200.3530,99
S,2,200.3540,65
Os,1,200.3730,98
Mn,1,200.3850,99
Pt,2,200.3856,14
Co,3,200.3890,67
W,3,200.3989,36
Cd,3,200.4070,54
Pt,1,200.4127,74
Na,3,200.4215,55
Co,3,200.4272,54
Fe,3,200.4289,6
Pt,2,200.4323,53
Zr,3,200.4469,0
Pd,3,200.4470,89
Zr,3,200.4620,8
Hg,2,200.4667,26
Os,3,200.4697,96
V,2,200.4787,88
Mg,3,200.4860,63
Fe,3,200.4949,57
Fe,3,200.5088,79
Rh,3,200.5140,35
Na,3,200.5217,62
Os,3,200.5448,6
Fe,3,200.5451,58
Pt,2,200.5489,22
Co,3,200.5528,62
Na,3,200.5546,44
Ru,3,200.5710,83
Fe,3,200.5712,73
W,3,200.5799,93
Ba,3,200.5846,18
B,2,200.5868,80
B,2,200.6080,65
B,2,200.6229,47
Fe,3,200.6268,73
S,2,200.6367,55
Ra,2,200.6400,12
Ru,3,200.6460,43
W,3,200.6539,47
Os,3,200.6724,34
W,3,200.6729,10
S,2,200.6754,73
Zr,3,200.6812,94
Cl,3,200.6840,6
Ar,3,200.6850,36
Re,3,200.6866,35
V,2,200.6889,71
Re,3,200.7003,17
Ne,2,200.7009,20
Ge,2,200.7039,55
W,3,200.7104,97
Ir,2,200.7180,88
Co,3,200.7280,25
Nb,3,200.7280,4
Ag,3,200.7300,68
W,3,200.7313,95
Ti,3,200.7360,16
Sr,3,200.7431,46
Co,3,200.7472,41
Cd,2,200.7490,66
Tl,1,200.7560,69
W,3,200.7622,88
Mg,3,200.7623,0
Pt,2,200.7757,96
S,2,200.7758,45
W,3,200.7836,25
Fe,3,200.7858,86
Cr,2,200.7989,48
Co,1,200.8040,37
Sn,1,200.8072,40
W,2,200.8096,54
In,2,200.8120,31
Zr,3,200.8171,79
Rb,3,200.8210,26
S,2,200.8375,55
Ba,3,200.8403,80
Fe,3,200.8470,79
Na,3,200.8470,63
Co,3,200.8556,45
Ir,2,200.8558,69
Mg,3,200.8771,21
Gd,3,200.8790,15
Cs,3,200.8905,8
As,1,200.9190,18
Re,3,200.9248,20
Cu,1,200.9252,28
Ru,3,200.9280,97
Kr,3,200.9300,30
Sc,2,200.9340,3
Re,3,200.9359,74
Os,3,200.9692,85
W,3,200.9695,1
Os,1,201.0150,99
Hg,2,201.0342,4
Fe,3,201.0381,74
Sc,3,201.0420,81
Co,3,201.0592,81
Ir,1,201.0650,99
Fe,2,201.0697,48
Fe,3,201.0711,79
Kr,3,201.0740,48
Ti,3,201.0800,41
Si,1,201.0970,1
Pt,2,201.1025,34
Ru,3,201.1170,50
Re,3,201.1242,85
W,3,201.1250,37
Ge,1,201.1293,80
Ir,2,201.1472,73
Ag,3,201.1490,59
Co,2,201.1516,79
Fe,3,201.1544,80
Ru,3,201.1560,3
Co,3,201.1621,93
W,3,201.1659,66
Ru,3,201.1660,10
Fe,3,201.1671,68
B,3,201.1860,30
Na,3,201.1865,86
Fe,3,201.1889,68
Mn,2,201.1928,15
Zn,2,201.1940,53
Ne,3,201.2042,6
Au,1,201.2050,100
Co,3,201.2103,58
Mn,2,201.2119,15
Pt,2,201.2123,70
Fe,3,201.2248,40
Sc,3,201.2256,75
S,2,201.2401,35
Pt,1,201.2594,43
V,2,201.2652,2
Fe,3,201.2685,80
Pt,2,201.2716,55
Co,3,201.2719,79
Ra,2,201.2750,28
Hf,2,201.2780,99
V,2,201.2848,2
Cu,2,201.2980,88
Re,3,201.2989,14
Co,3,201.3000,46
Cu,3,201.3220,33
Zr,3,201.3251,51
Sc,2,201.3265,18
O,3,201.3270,99
As,1,201.3320,20
B,3,201.3600,43
Ag,3,201.3650,35
Sr,3,201.3673,54
Rh,3,201.3710,58
Mg,3,201.3838,1
Co,3,201.3882,94
Mn,2,201.3895,16
Os,3,201.4040,42
Ca,3,201.4103,80
Na,3,201.4169,64
V,2,201.4188,83
V,2,201.4208,43
Re,3,201.4337,69
Fe,3,201.4421,50
Fe,3,201.4523,11
Co,1,201.4580,51
Fe,3,201.4791,50
Pt,2,201.4932,98
Re,3,201.5060,59
Fe,3,201.5069,58
Mo,2,201.5110,99
Hg,2,201.5171,5
Ru,3,201.5200,57
Fe,3,201.5210,12
Fe,2,201.5487,12
Pt,2,201.5519,51
V,2,201.5559,13
B,3,201.5570,75
Cu,2,201.5582,86
Re,3,201.5683,57
Sn,1,201.5751,44
V,2,201.5758,2
W,2,201.5779,31
Co,3,201.5807,77
Al,2,201.5864,65
Cu,2,201.5866,51
Co,3,201.5891,30
Ag,2,201.5905,79
Co,3,201.6022,71
Al,2,201.6053,77
Cd,3,201.6120,59
Co,1,201.6170,38
Al,2,201.6193,67
Al,2,201.6234,77
Sc,2,201.6304,3
Al,2,201.6334,55
W,3,201.6340,80
Al,2,201.6369,70
Ir,2,201.6483,21
Zr,3,201.6569,56
O,2,201.6589,21
Fe,3,201.6713,69
Pt,1,201.6720,53
Mg,3,201.6752,1
Co,3,201.6772,20
Cu,2,201.6896,87
Pt,2,201.6905,60
Na,3,201.7024,72
Na,2,201.7137,42
Os,3,201.7144,21
Na,3,201.7230,3
Hg,2,201.7249,8
Fe,3,201.7300,69
Co,3,201.7302,33
Rh,3,201.7470,45
Cu,2,201.7610,67
Fe,3,201.7625,20
W,3,201.7674,89
Sc,2,201.7683,18
Re,1,201.7870,99
C,2,201.7940,83
Os,3,201.7948,77
Os,3,201.8010,50
Gd,3,201.8070,96
Os,1,201.8140,100
B,2,201.8150,68
Re,3,201.8204,27
Pt,2,201.8329,72
C,2,201.8380,86
Ir,2,201.8483,78
Fe,3,201.8576,77
Ru,3,201.8580,17
Ca,3,201.8697,86
Fe,2,201.8777,26
Co,3,201.8920,32
Kr,2,201.9050,18
Zr,3,201.9055,54
Ge,1,201.9068,97
Co,3,201.9178,11
Ge,3,201.9220,5
Re,3,201.9322,73
Co,3,201.9411,80
Pt,2,201.9665,5
Os,3,201.9710,40
Ir,2,201.9711,88
Pt,2,201.9836,42
Co,3,202.0040,27
Mo,2,202.0300,100
O,2,202.0340,41
Pt,1,202.0543,80
Fe,2,202.0751,28
W,3,202.0753,80
Ca,3,202.0772,80
Sn,1,202.0829,42
Re,3,202.0832,28
W,3,202.0850,66
Cs,3,202.0918,37
Bi,3,202.0958,33
Bi,1,202.1149,63
Co,3,202.1381,38
Au,1,202.1390,98
Zr,3,202.1402,52
O,2,202.1445,21
Ti,2,202.1501,19
Cr,2,202.1583,5
Os,3,202.1604,69
Os,3,202.1913,1
Pb,1,202.2016,7
Fe,3,202.2037,46
Al,2,202.2081,52
W,3,202.2144,80
Mn,3,202.2190,37
Cu,2,202.2191,68
Ge,3,202.2250,22
Na,3,202.2295,45
Hg,2,202.2298,26
Hg,2,202.2326,59
Sc,2,202.2330,3
Ir,1,202.2350,99
Co,2,202.2354,76
W,3,202.2370,47
Mg,3,202.2404,2
Ba,3,202.2445,74
Os,1,202.2760,98
O,2,202.2768,21
Co,3,202.2817,52
Ir,2,202.2831,91
Pt,2,202.2952,82
Na,3,202.3225,29
Ir,2,202.3240,33
Fe,3,202.3298,76
O,2,202.3332,21
Re,3,202.3367,6
P,1,202.3489,57
Pt,1,202.3541,42
V,2,202.3565,69
Co,3,202.3695,5
O,2,202.3740,41
Zr,3,202.3785,7
Fe,3,202.3815,20
Cu,1,202.3947,28
Mg,3,202.3980,2
Sb,1,202.4000,13
Cu,1,202.4002,5
Re,3,202.4008,78
Ba,2,202.4056,6
Mg,3,202.4285,22
Cu,1,202.4327,99
Ir,2,202.4327,63
Cu,1,202.4338,99
Co,3,202.4455,84
Os,3,202.4487,12
P,1,202.4516,39
Pt,1,202.4636,31
Co,3,202.4654,5
Kr,3,202.4780,60
Co,3,202.4862,52
Sr,3,202.4886,38
Cs,2,202.4966,48
W,3,202.5037,37
Re,3,202.5061,93
Fe,3,202.5288,56
W,3,202.5468,1
W,2,202.5471,2
Zn,2,202.5485,83
Cu,2,202.5488,94
Kr,3,202.5490,55
Fe,3,202.5495,66
Ne,2,202.5560,21
Fe,3,202.5582,77
W,3,202.5652,47
W,2,202.5655,2
Sc,2,202.5681,18
Co,2,202.5759,59
Re,3,202.5813,1
Mg,1,202.5824,59
Co,3,202.5841,78
Ag,2,202.5858,33
Pt,1,202.5872,51
W,3,202.5908,73
Cu,2,202.5919,39
Ba,3,202.5965,19
Fe,3,202.6046,90
Ca,3,202.6050,80
Xe,3,202.6062,25
W,2,202.6088,69
W,3,202.6142,1
Kr,3,202.6390,3
Ca,3,202.6589,64
Zr,3,202.6706,87
Hg,2,202.6860,94
Sn,1,202.6959,57
O,3,202.6960,70
Co,2,202.7040,75
Co,3,202.7041,100
O,2,202.7103,22
Cu,2,202.7134,79
W,3,202.7169,25
Ir,2,202.7260,66
Re,3,202.7437,12
F,3,202.7440,1
Ir,2,202.7456,32
O,2,202.7603,22
Ca,3,202.7667,65
Gd,3,202.7820,60
Mn,3,202.7830,94
Sr,3,202.8115,47
Mn,3,202.8140,61
Hf,2,202.8180,100
Os,1,202.8230,99
Os,3,202.8241,18
Cs,2,202.8322,38
W,3,202.8482,81
Rh,3,202.8530,48
Na,3,202.8553,73
Fe,3,202.8564,36
Co,3,202.8567,85
Pt,1,202.8592,36
Ne,3,202.8592,26
Ir,2,202.8650,89
Sc,2,202.8674,4
Cs,3,202.8994,38
Co,3,202.9016,43
Xe,3,202.9023,0
Xe,3,202.9216,14
Nb,2,202.9320,100
Co,3,202.9423,16
Cu,2,202.9471,49
Sb,1,202.9490,22
Fe,3,202.9530,66
Hg,2,202.9574,16
Re,3,202.9576,77
Ga,3,202.9613,17
Cs,3,202.9867,20
Zr,3,202.9869,76
Cs,3,202.9897,47
Cu,2,202.9949,78
W,2,202.9995,73
Cs,3,203.0013,13
Zr,3,203.0043,65
Cs,3,203.0239,5
Rb,2,203.0287,4
F,3,203.0320,2
W,2,203.0321,2
Sc,2,203.0392,4
Co,3,203.0446,38
Pt,2,203.0498,21
Pt,1,203.0645,89
Co,3,203.0663,46
Rb,2,203.0716,12
W,3,203.0744,81
Fe,3,203.0772,56
Sc,2,203.0793,19
Co,3,203.0945,58
Cu,2,203.1036,90
Na,3,203.1128,74
W,3,203.1220,73
Re,3,203.1385,25
V,2,203.1405,2
Pt,2,203.1440,46
Pr,3,203.1460,27
Fe,3,203.1540,10
W,3,203.1588,47
Ir,2,203.1664,55
Hg,2,203.1753,4
Co,3,203.1807,93
Co,1,203.1960,38
Xe,3,203.1996,0
Cl,2,203.2116,16
W,3,203.2170,1
Fe,2,203.2410,22
Pt,1,203.2425,92
P,1,203.2432,65
Cd,2,203.2450,43
Nb,3,203.2470,5
Be,1,203.2650,61
Sn,3,203.2650,7
Co,2,203.2718,44
Mg,3,203.2923,22
Pt,1,203.2939,0
Nb,2,203.2990,99
Fe,3,203.3069,24
Co,3,203.3071,55
Co,3,203.3248,14
Pr,3,203.3300,43
Ne,3,203.3310,6
Ce,3,203.3340,1
Ca,3,203.3358,90
Fe,3,203.3442,9
P,1,203.3477,66
Ir,2,203.3485,63
Ir,1,203.3570,100
Co,3,203.3603,52
Zr,3,203.3707,22
Ir,2,203.3826,68
Cu,2,203.3844,60
Re,3,203.3870,70
Rb,2,203.3906,33
Ag,2,203.3927,82
Co,3,203.4274,69
Fe,3,203.4297,64
Os,1,203.4440,99
Fe,3,203.4548,36
K,2,203.4679,43
Fe,3,203.4708,76
Re,3,203.4716,8
Re,3,203.4983,84
Co,3,203.5029,5
Cs,3,203.5110,94
Fe,3,203.5110,54
Fe,3,203.5181,36
Pt,1,203.5267,34
Zr,3,203.5351,93
Fe,3,203.5373,24
K,2,203.5408,96
Ne,3,203.5529,1
W,3,203.5648,10
Pt,1,203.5798,75
Cu,2,203.5853,96
W,2,203.5889,77
Na,3,203.5897,65
Fe,3,203.5941,65
Co,3,203.6005,22
K,2,203.6014,85
Fe,3,203.6029,65
Cd,2,203.6230,64
Cr,3,203.6390,28
W,3,203.6403,26
W,2,203.6404,2
Co,3,203.6410,61
Fe,2,203.6437,12
Pt,2,203.6466,98
Os,3,203.6606,61
W,3,203.6627,48
Rh,3,203.6720,62
Al,2,203.6750,1
Fe,3,203.6850,54
Zr,3,203.6862,83
Cu,2,203.6920,81
Co,3,203.6947,23
K,2,203.7005,95
Cu,2,203.7127,95
Fe,3,203.7148,54
Sr,3,203.7169,47
Ir,2,203.7248,54
Fe,3,203.7302,84
Mn,2,203.7310,83
Ir,2,203.7381,30
Fe,3,203.7577,44
Rh,3,203.7610,52
W,3,203.7614,99
Mn,2,203.7643,83
Os,3,203.7703,45
Hg,2,203.7730,5
W,3,203.7731,74
Hf,3,203.7760,5
Na,3,203.7776,39
Co,3,203.7813,20
V,2,203.7835,31
Fe,3,203.8098,65
Re,3,203.8173,90
Mo,2,203.8440,99
Os,3,203.8474,39
W,3,203.8554,48
Fe,3,203.8627,44
Kr,3,203.8670,49
Co,2,203.8673,17
Fe,3,203.8743,55
Ba,3,203.8840,59
Fe,3,203.8915,55
Co,3,203.9159,83
Al,2,203.9220,1
V,2,203.9295,23
Ne,3,203.9307,53
Zn,2,203.9307,31
Al,2,203.9400,17
Ar,2,203.9492,5
Fe,3,203.9520,93
Mg,3,203.9553,94
Pt,1,203.9586,28
Cr,3,203.9630,4
Pt,1,203.9704,51
Sb,1,203.9770,26
In,2,203.9790,57
W,3,203.9799,81
Se,1,203.9800,92
Co,3,203.9830,66
Cd,3,203.9830,85
B,2,203.9840,36
Co,1,203.9950,60
Mn,2,203.9970,83
Co,3,204.0180,60
Rh,3,204.0180,68
Co,3,204.0236,60
Pt,1,204.0335,61
Fe,3,204.0406,63
Rb,2,204.0485,31
Fe,3,204.0550,75
Sn,1,204.0657,65
Fe,2,204.0690,53
Fe,3,204.0785,63
In,2,204.0810,43
Sn,1,204.0918,58
Zn,1,204.0920,53
Co,1,204.1110,51
Ne,3,204.1200,14
Ag,3,204.1330,38
Pt,1,204.1461,45
Re,3,204.1483,75
B,2,204.1500,26
Ca,3,204.1538,90
Co,3,204.1556,15
Pt,2,204.1575,97
Os,3,204.1619,74
Na,3,204.1661,74
Co,3,204.1680,18
Ge,1,204.1712,99
Re,3,204.1787,7
Y,3,204.1930,7
Zr,3,204.1932,28
Pt,2,204.1961,3
Y,3,204.2070,4
Rb,2,204.2226,66
Re,3,204.2230,86
Fe,3,204.2241,55
Hg,2,204.2272,3
Re,3,204.2764,0
W,3,204.2765,10
Re,3,204.2953,21
B,2,204.2990,24
Co,3,204.3047,41
Pr,3,204.3120,25
Na,3,204.3290,75
Fe,3,204.3326,33
Fe,3,204.3484,63
W,2,204.3543,41
Co,3,204.3659,35
Zr,3,204.3738,55
Ge,1,204.3769,96
Re,3,204.3798,45
Cu,2,204.3802,96
W,2,204.3824,3
Co,3,204.3941,17
Pt,2,204.3975,20
Os,3,204.3999,55
Fe,3,204.4041,64
Re,3,204.4098,22
Ir,2,204.4190,97
Co,3,204.4225,63
Al,2,204.4270,4
Fe,3,204.4313,64
Al,2,204.4410,1
Os,3,204.4540,2
Au,2,204.4540,64
Fe,3,204.4550,44
Mn,3,204.4570,39
Ru,3,204.4590,63
Fe,3,204.4671,34
Na,3,204.4823,56
Ir,2,204.4830,93
K,2,204.4832,85
Zn,1,204.4920,12
Fe,3,204.4984,76
W,3,204.5085,48
Re,3,204.5104,63
K,2,204.5283,94
Os,1,204.5360,100
K,2,204.5430,89
Na,3,204.5443,57
W,3,204.5561,37
Cd,3,204.5610,89
O,3,204.5670,89
Cu,1,204.5692,28
Ca,3,204.5803,87
Fe,3,204.5838,88
Mo,2,204.5980,98
Gd,3,204.6020,13
Fe,3,204.6070,34
Re,3,204.6124,86
Co,3,204.6148,70
W,3,204.6418,66
Sc,1,204.6424,85
Ca,3,204.6537,81
Kr,3,204.6540,73
Xe,3,204.6555,1
Fe,3,204.6761,44
Ca,3,204.6819,81
Fe,3,204.6834,34
S,2,204.6942,8
Ba,3,204.6978,23
Fe,3,204.7131,53
Ca,3,204.7193,70
Cr,3,204.7230,37
W,3,204.7280,89
Co,3,204.7350,81
Sc,1,204.7623,85
Al,2,204.7630,18
Cu,2,204.7678,85
Co,3,204.7756,28
W,3,204.7782,48
Al,2,204.7790,18
Al,2,204.7870,2
Na,3,204.7970,3
W,3,204.8067,95
Re,3,204.8089,13
Ca,3,204.8293,81
Na,3,204.8313,30
Zn,1,204.8421,23
Co,3,204.8423,47
Rh,3,204.8670,88
Na,3,204.8719,33
Mn,3,204.8930,53
Zn,1,204.8960,13
Re,3,204.9052,3
W,3,204.9062,81
Re,1,204.9080,99
Pt,2,204.9169,89
Co,3,204.9300,49
Pt,2,204.9326,40
Pt,1,204.9392,95
Fe,3,204.9395,83
Co,3,204.9476,41
Pt,2,204.9514,57
Ir,2,204.9560,92
Sb,1,204.9570,49
W,2,204.9636,57
Sc,1,204.9654,85
Mn,3,204.9680,63
Pt,1,204.9840,62
W,3,204.9849,49
Sc,1,205.0025,85
Hg,2,205.0051,9
Ir,2,205.0220,84
Co,3,205.0314,35
Ti,2,205.0321,38
W,3,205.0378,82
Rb,2,205.0379,33
Ga,3,205.0656,29
Lu,3,205.0720,20
Fe,3,205.0744,84
Ar,2,205.0792,51
Na,2,205.0877,7
Pb,1,205.0880,8
Fe,2,205.1034,48
W,3,205.1064,66
Ir,2,205.1160,98
Co,3,205.1345,67
Pt,2,205.1422,10
Na,3,205.1484,65
Hg,2,205.1731,5
Ba,3,205.1790,19
C,2,205.1790,85
Na,3,205.1845,23
Fe,3,205.1846,34
Ga,3,205.2070,2
Sn,3,205.2090,90
Co,3,205.2091,56
C,2,205.2160,84
Rb,2,205.2213,67
Ir,1,205.2220,98
Re,3,205.2240,2
Fe,3,205.2277,62
Pr,3,205.2300,44
Ne,3,205.2586,53
Cs,3,205.2592,18
Xe,3,205.2729,1
O,3,205.2740,72
Ba,2,205.2752,29
Re,3,205.2777,79
Rb,2,205.2798,77
Hg,2,205.2828,97
Zn,1,205.2860,49
Pr,3,205.2870,27
Co,3,205.3107,93
Ag,3,205.3170,41
Co,3,205.3188,22
Pb,1,205.3284,23
Re,3,205.3343,14
B,3,205.3510,53
Fe,3,205.3524,53
W,3,205.3545,89
Ag,3,205.3830,44
Pr,3,205.3850,27
Sn,1,205.4030,59
Sb,3,205.4100,22
Ti,2,205.4129,12
Cu,2,205.4253,81
Co,3,205.4356,21
Cu,2,205.4417,82
W,3,205.4418,2
Ge,1,205.4461,85
Fe,3,205.4482,53
Fe,3,205.4647,2
W,2,205.4683,72
In,2,205.4760,44
Hg,2,205.4764,16
W,3,205.4764,37
Yb,3,205.4800,22
Si,1,205.4830,34
Re,3,205.4843,9
V,2,205.4849,36
Co,3,205.4916,9
Cu,2,205.4978,96
Re,3,205.4992,43
W,3,205.5042,89
Pd,3,205.5110,46
Na,3,205.5183,45
Cs,3,205.5243,38
Fe,2,205.5268,12
Co,3,205.5453,53
Mg,3,205.5491,95
Cr,2,205.5599,97
In,2,205.5720,64
Fe,3,205.5862,75
Be,1,205.5902,71
Be,1,205.6012,81
Zr,3,205.6015,88
Re,3,205.6053,66
Fe,3,205.6160,83
Co,3,205.6200,88
Co,3,205.6250,62
Cs,3,205.6427,71
Co,3,205.6539,33
Ca,3,205.6595,81
Ti,2,205.6624,52
Fe,3,205.6700,2
Mn,3,205.6800,41
Ag,3,205.6990,62
Pt,2,205.7025,95
Fe,3,205.7063,75
Ir,2,205.7188,91
Ge,1,205.7238,80
Pt,2,205.7292,20
Se,3,205.7500,18
Ar,2,205.7513,56
Re,3,205.7546,64
Ce,3,205.7650,2
W,3,205.7703,26
Cs,3,205.7730,59
Gd,3,205.7790,10
W,3,205.7830,94
Fe,3,205.7928,75
Zr,3,205.8031,48
Ar,2,205.8083,1
Cs,2,205.8094,22
Re,3,205.8146,50
Fe,3,205.8204,53
Co,3,205.8241,69
Ne,3,205.8267,72
Sc,2,205.8309,19
Sn,1,205.8310,62
Pt,1,205.8394,32
Fe,3,205.8567,96
Ti,2,205.8577,44
Pr,3,205.8590,70
Cs,3,205.8604,53
Cu,2,205.8611,55
Re,3,205.8622,64
Si,2,205.8650,43
Zr,3,205.8663,75
Os,1,205.8690,97
Na,3,205.8730,16
Co,2,205.8817,34
Ir,2,205.8930,91
Zr,3,205.8936,21
Pt,2,205.8996,40
Si,2,205.9010,44
Fe,3,205.9040,42
Co,3,205.9049,68
Rb,3,205.9600,23
Pt,1,205.9685,56
Fe,3,205.9686,92
S,3,205.9854,0
Pt,2,205.9914,73
Ag,2,205.9939,31
W,3,206.0009,38
Nb,3,206.0290,7
Hg,2,206.0306,2
Co,3,206.0339,0
Na,3,206.0360,58
Re,3,206.0577,19
Y,3,206.0580,37
Ir,1,206.0640,98
Re,3,206.0733,65
Pt,1,206.0762,79
Zr,3,206.0821,88
Pt,2,206.1017,24
Ag,1,206.1162,89
Si,1,206.1190,17
Cd,3,206.1250,33
Zr,3,206.1413,57
Zr,3,206.1461,53
Co,3,206.1474,40
Fe,3,206.1557,97
Cr,2,206.1577,96
I,1,206.1633,100
Bi,1,206.1634,95
Pt,2,206.1655,35
Sc,1,206.1663,86
Os,1,206.1690,98
Kr,3,206.1730,21
Pt,2,206.1732,29
Fe,3,206.1760,92
Sn,3,206.1770,80
Pt,2,206.1782,59
Zn,2,206.2001,85
Fe,3,206.2089,52
Ge,3,206.2140,12
Ca,3,206.2155,70
Co,3,206.2159,64
Cu,2,206.2420,86
Re,3,206.2662,48
Pt,1,206.2794,85
Ne,3,206.2813,64
Fe,3,206.2981,52
Na,3,206.2990,23
Ir,2,206.3030,94
Sb,1,206.3430,15
Ca,3,206.3524,67
Sc,2,206.3675,19
Fe,2,206.3677,29
W,3,206.3739,82
Sn,3,206.3780,93
Co,2,206.3786,34
Sn,1,206.4002,52
N,3,206.4010,76
Pr,3,206.4080,28
Rh,3,206.4110,85
Ar,3,206.4150,0
Ar,2,206.4211,67
Zn,2,206.4227,69
Sc,2,206.4255,51
Ac,2,206.4280,82
N,3,206.4420,90
Rb,2,206.4580,4
Ir,2,206.4770,72
Mg,3,206.4902,100
Ne,3,206.4939,46
Fe,3,206.4985,23
Os,3,206.5020,31
Ir,2,206.5090,75
Ge,1,206.5215,93
Fe,3,206.5269,52
Na,3,206.5282,16
Ne,3,206.5309,91
Lu,3,206.5350,88
Rb,2,206.5425,33
Fe,3,206.5489,0
Cr,2,206.5504,93
Si,1,206.5520,2
Co,2,206.5542,45
W,2,206.5573,37
B,3,206.5779,99
Bi,3,206.5790,54
Ir,2,206.5790,97
Co,3,206.5863,73
Ag,2,206.5910,89
W,3,206.6054,11
W,3,206.6093,22
Ga,3,206.6202,6
Cu,2,206.6261,83
B,1,206.6377,48
Mn,3,206.6380,65
W,3,206.6405,11
Yb,3,206.6490,3
Na,3,206.6601,87
B,1,206.6654,61
Hg,2,206.6657,3
Re,3,206.6795,26
Na,3,206.6905,40
B,1,206.6930,39
Pt,1,206.6932,71
Sn,3,206.6991,1
B,1,206.7020,16
Sc,2,206.7091,31
Xe,3,206.7175,14
B,1,206.7193,52
Co,3,206.7206,23
Os,2,206.7210,99
B,3,206.7236,98
Fe,3,206.7316,83
Cu,2,206.7368,48
Re,3,206.7444,60
Pt,1,206.7510,89
Sc,2,206.7517,19
Ca,3,206.7627,71
Fe,2,206.7914,22
Sc,2,206.8041,43
Co,3,206.8099,44
Pt,2,206.8111,35
Pt,2,206.8181,81
Fe,3,206.8254,96
Sb,1,206.8330,93
Sn,3,206.8570,76
Sn,1,206.8576,70
Sr,3,206.8634,74
Sc,2,206.8643,31
Ge,1,206.8656,100
N,3,206.8680,39
Pt,1,206.8685,10
V,2,206.8788,33
Bi,3,206.8920,27
Rb,2,206.8920,90
Bi,2,206.8937,87
W,3,206.8938,82
Y,3,206.8980,55
Mn,3,206.9020,96
W,3,206.9372,60
Co,3,206.9398,42
Ir,2,206.9480,70
Fe,3,206.9812,31
Ag,1,206.9844,82
Cu,2,206.9936,72
Bi,3,206.9970,42
Sn,3,206.9976,14
Zn,1,207.0130,86
Rb,3,207.0276,1
Zr,3,207.0359,94
W,3,207.0371,38
Ba,3,207.0425,67
Ir,2,207.0510,94
Fe,3,207.0549,92
Lu,3,207.0560,91
W,3,207.0583,2
Ra,2,207.0600,14
Os,2,207.0670,96
Ne,3,207.0754,14
Hf,3,207.0940,74
Pt,1,207.0944,78
Ir,2,207.0954,41
Fe,3,207.0977,31
Te,1,207.1060,80
N,3,207.1090,1
W,2,207.1208,61
Os,3,207.1277,44
Rb,2,207.1503,83
Pt,2,207.1545,55
Cs,3,207.1666,13
Ba,3,207.1683,68
Fe,3,207.1880,96
Co,3,207.2010,74
Si,2,207.2020,76
S,3,207.2030,42
O,2,207.2200,41
Os,3,207.2497,52
Na,3,207.2673,66
Si,2,207.2700,77
Sn,1,207.2890,72
Re,3,207.2982,53
Sn,1,207.3075,75
Bi,3,207.3197,92
Co,3,207.3223,78
Rb,2,207.3236,51
Re,3,207.3280,72
Sr,3,207.3341,74
Eu,3,207.3400,0
Ar,2,207.3425,27
Co,3,207.3503,76
Pt,1,207.3596,45
Yb,3,207.3640,3
Al,2,207.4009,79
Zr,3,207.4061,79
Kr,3,207.4200,3
Cu,2,207.4213,51
Rb,2,207.4225,32
Fe,3,207.4232,41
Mg,3,207.4298,3
Re,1,207.4700,97
Ba,3,207.4798,19
Se,1,207.4800,94
Ca,3,207.4841,71
Co,3,207.4984,24
Pr,3,207.5080,26
Co,3,207.5098,63
Rb,2,207.5131,34
O,2,207.5169,41
Pt,2,207.5400,94
Ir,2,207.5430,85
Ag,2,207.5543,82
W,2,207.5590,13
Rb,2,207.5954,97
Ba,3,207.5999,59
Mn,2,207.6210,71
Pt,1,207.6222,14
Pt,2,207.6296,5
Fe,3,207.6328,41
Ru,1,207.6430,93
Cs,3,207.6434,85
Ir,2,207.6760,80
K,2,207.6798,98
Rh,3,207.6840,65
V,2,207.6856,75
Be,3,207.6940,63
Os,1,207.6950,96
Cs,3,207.7059,11
B,3,207.7087,97
Cs,3,207.7298,91
Co,3,207.7330,64
Mn,3,207.7380,87
Ba,3,207.7668,43
Fe,3,207.7749,51
Co,1,207.7760,61
Ce,3,207.7870,3
Zr,3,207.7898,89
Co,3,207.7914,16
Na,3,207.7974,46
Yb,3,207.8050,39
Co,3,207.8093,46
Kr,3,207.8100,21
Mn,3,207.8130,42
W,2,207.8344,97
W,3,207.8347,97
Ir,2,207.8370,90
In,2,207.8572,100
W,3,207.8591,26
Cu,2,207.8661,93
K,2,207.8694,100
Ir,2,207.8808,76
Ca,3,207.8916,91
Ne,3,207.8969,82
Fe,3,207.8990,99
Zn,1,207.9081,75
W,2,207.9118,98
Kr,3,207.9250,45
Fe,3,207.9295,50
Pt,2,207.9490,39
Cu,1,207.9534,29
Sb,1,207.9560,31
Co,3,207.9604,53
Ar,2,207.9653,42
Pt,2,207.9693,32
Ir,2,207.9710,93
Co,3,207.9726,83
Pt,2,207.9768,47
Cs,2,207.9795,28
W,3,207.9850,11
Zn,2,207.9933,15
Os,1,207.9970,99
Ba,2,207.9975,21
Cs,2,208.0048,62
Cu,2,208.0059,70
Gd,3,208.0080,39
Fe,3,208.0232,61
Fe,2,208.0243,23
In,2,208.0300,57
Ar,2,208.0356,54
Be,3,208.0380,57
Sn,1,208.0631,50
Ir,2,208.0640,86
Pt,2,208.0732,27
Pt,2,208.0876,26
Zr,3,208.0916,85
Ir,2,208.0950,76
Co,3,208.0987,75
Ag,3,208.1040,65
Te,1,208.1170,92
Kr,2,208.1210,18
Co,3,208.1231,71
Ba,3,208.1351,68
Zr,3,208.1479,53
Al,2,208.1481,41
In,2,208.1510,54
Mo,2,208.1680,98
