element,ion,wavelength_nm,strength_percentile
Mn,2,199.4230,71
Fe,3,199.4256,50
Cu,2,199.4257,28
Rh,3,199.4260,42
Co,3,199.4275,8
K,2,199.4285,92
Ag,2,199.4317,91
Ba,3,199.4354,23
Fe,3,199.4383,60
Zr,3,199.4420,51
Os,3,199.4650,48
W,3,199.4660,0
Fe,3,199.4841,72
Te,1,199.4841,90
Ir,2,199.4860,73
Sn,1,199.4975,35
Yb,3,199.5050,49
Se,1,199.5100,39
Ag,3,199.5160,26
Fe,3,199.5271,82
Sc,2,199.5288,42
Co,3,199.5392,82
As,1,199.5430,15
Cd,2,199.5430,82
K,2,199.5557,5
Fe,3,199.5566,94
Na,3,199.5675,55
Ir,2,199.5777,74
Pt,1,199.5899,83
S,2,199.5960,17
Mn,1,199.6060,98
W,3,199.6316,36
Os,3,199.6425,93
Fe,3,199.6429,98
Cs,3,199.6564,20
Cr,2,199.6641,11
S,2,199.6765,87
Co,3,199.6821,13
Au,3,199.6850,55
Zn,2,199.6922,13
B,2,199.6930,53
Zr,3,199.6943,12
In,2,199.7030,48
Nb,3,199.7110,2
Ir,2,199.7179,92
Os,3,199.7197,9
Yb,3,199.7280,54
W,3,199.7286,97
Cl,2,199.7370,15
W,3,199.7376,24
S,2,199.7518,100
Ru,3,199.7550,37
Re,3,199.7610,67
Yb,3,199.7660,54
W,3,199.7801,25
Pt,2,199.7837,9
Re,3,199.7855,29
W,3,199.7948,22
Be,1,199.8010,94
In,2,199.8040,30
W,3,199.8160,25
Co,3,199.8201,32
W,2,199.8423,1
Co,1,199.8490,59
Cu,2,199.8558,47
Na,3,199.8584,22
W,3,199.8659,8
Cr,2,199.8749,35
S,2,199.8765,94
Yb,3,199.8820,85
Fe,3,199.8825,14
Co,3,199.8857,30
Ge,1,199.8887,87
Ag,2,199.8935,35
Fe,3,199.9095,39
Re,3,199.9115,96
Fe,3,199.9400,39
Fe,3,199.9423,82
Ne,3,199.9431,52
Zr,3,199.9472,61
Cu,1,199.9500,12
Mn,1,199.9510,99
Cu,2,199.9533,65
Fe,3,199.9584,95
Ag,3,199.9590,89
Fe,3,199.9595,90
Re,3,199.9633,36
Ca,3,199.9663,88
Cu,2,199.9698,96
Na,3,199.9748,29
Re,3,199.9750,100
Co,3,199.9786,75
W,3,199.9887,72
Co,3,199.9890,56
Fe,3,199.9896,61
Ca,3,199.9919,67
W,3,199.9950,46
Hg,2,199.9987,1
Re,3,200.0023,33
Fe,3,200.0046,72
Co,3,200.0066,44
Te,1,200.0260,86
Fe,2,200.0377,58
Pt,2,200.0445,16
W,3,200.0480,73
S,2,200.0514,74
Fe,3,200.0593,40
Cd,3,200.0600,67
Re,3,200.0664,34
Ag,2,200.0685,83
Ne,3,200.0714,63
Au,2,200.0810,26
W,3,200.0850,36
Ca,3,200.0895,88
W,3,200.1020,0
Co,3,200.1085,88
Os,3,200.1144,63
Fe,3,200.1160,72
Fe,3,200.1264,73
Ba,3,200.1297,59
Re,3,200.1338,7
Fe,3,200.1372,40
Ca,3,200.1402,84
Os,1,200.1450,97
V,2,200.1451,9
Re,3,200.1463,89
Fe,3,200.1490,40
Ne,3,200.1491,91
S,2,200.1570,58
V,2,200.1653,1
Cu,1,200.1672,28
W,3,200.1757,73
Fe,3,200.1828,79
Hg,1,200.1910,21
Zr,3,200.1911,87
Co,3,200.1941,58
Cu,1,200.1947,5
S,2,200.1985,89
Te,1,200.2019,93
W,3,200.2139,10
Co,3,200.2160,27
Pd,3,200.2160,75
Ne,3,200.2243,19
S,2,200.2278,85
Co,1,200.2320,60
Os,3,200.2413,83
Fe,3,200.2477,73
Fe,3,200.2601,61
Ir,2,200.2757,86
Co,3,200.2790,28
Ne,3,200.2842,45
Cu,2,200.2903,61
Mg,3,200.2917,21
Cs,3,200.2950,8
Ca,3,200.2987,85
Pt,2,200.3142,23
Zr,3,200.3232,50
Re,3,200.3248,44
